Date,Time,Air Temp,Big Rock,Gravel,Wet Mulch,Dry Mulch,Wood Chip,Notes
6/20/2017,8:00,12.6,12.9,12.3,12.2,.,12.2,"cloudy, rainy"
6/20/2017,9:00,15.7,12.3,11.2,11.7,.,11.8,cloudy
6/20/2017,10:00,19.7,18.5,20.9,21.2,.,20.7,sun is out but still wet
6/20/2017,11:00,21.9,20.7,21,20.3,.,20.8,mostly cloudy
6/20/2017,12:00,23.3,24,24.2,23.1,.,23.5,partly cloudy
6/20/2017,13:00,31.5,30.7,33.2,32,39.1,31,partly cloudy
6/20/2017,14:00,26.6,31.5,31.2,27.1,29.4,27.5,mostly cloudy
6/20/2017,15:00,29,32.4,34.3,27.5,37.7,31,mostly sunny
6/20/2017,16:00,23.8,29.4,30.8,23.5,26.6,28.2,mostly cloudy
6/20/2017,17:00,26.7,30.7,29,27.5,32.8,27.1,
6/21/2017,8:00,24,16.5,21.4,21.8,27.5,20.6,clear
6/21/2017,9:00,29.2,21.4,26.4,24.7,31,29.8,clear
6/21/2017,10:00,28.4,25.6,31.5,29.9,40.2,31.2,clear
6/21/2017,11:00,29.3,30.4,32.1,29,35.7,31.7,clear
6/21/2017,12:00,30.3,30.7,29.4,27.9,33.7,27.5,clear
6/21/2017,13:00,28.4,35.3,34.7,33.2,54.2,39.7,clear
6/21/2017,14:00,29.2,38.1,32.7,54,32.5,39.7,clear
6/21/2017,15:00,30.9,37.2,35.9,33.4,55.2,36.1,clear
6/21/2017,16:00,26,32.2,28.3,25.9,35,28.7,mostly sunny
6/21/2017,17:00,28.9,32.4,30.8,27.8,41.2,29.5,mostly sunny
6/22/2017,8:00,21.7,18.9,19,18.8,19.3,19,"cloudy, rain forecast today"
6/22/2017,9:00,25.8,19.1,19.3,20,20,19.3,"cloudy, rain forecast today"
6/22/2017,10:00,24.9,19.6,19.8,20.1,.,20,cloudy and lots of rain
6/22/2017,11:00,22.9,21.8,22.9,23,.,22.8,cloudy and raining
6/22/2017,12:00,22.5,21,22,21.4,.,20.5,cloudy
6/22/2017,13:00,18.5,19.3,19.5,19,.,19,"raining hard, IR thermometer stopped working"
6/23/2017,11:00,23,26.2,32,26.7,.,25.5,clear (IR started working again after hard rain yesterday)
6/23/2017,12:00,23.6,32.6,36.9,26.4,31.6,32.1,clear
6/23/2017,13:00,24.3,34.4,37.2,26,32.1,31.7,clear and sunny
6/23/2017,14:00,23.3,29.3,25.9,21.5,23.6,22,cloudy
6/23/2017,15:00,24.2,27.7,26.3,20.6,28.6,21.6,mostly sunny
6/23/2017,16:00,24.5,27.8,29.1,19.9,31.6,27.5,mostly cloudy
6/23/2017,17:00,25.1,25.4,24.8,19.4,22.9,20.2,mostly cloudy
6/24/2017,8:00,15.4,13.4,14.2,14.2,12.8,12.2,partly cloudy
6/24/2017,9:00,15.8,17.6,18.3,14.8,16.9,15.9,mostly cloudy
6/24/2017,10:00,23.6,21,25.2,16.8,21.5,24,mostly cloudy
6/24/2017,11:00,18.2,19.7,21.2,18.4,15.8,20.4,mostly cloudy
6/24/2017,12:00,19.4,24.2,25.8,19.1,25,19.5,mostly cloudy
6/24/2017,13:00,22.2,23.1,26.2,18.1,24.9,19.6,mostly cloudy
6/24/2017,14:00,21,26.4,32.7,22.8,32.8,30.2,partly sunny
6/24/2017,15:00,21,26.1,28.4,21.6,24.8,22.5,partly sunny
6/24/2017,16:00,23.7,27.5,28.5,21.7,24.5,26,partly sunny
6/25/2017,8:00,14.8,14.5,14.1,14.6,15.1,14.6,mostly cloudy
6/25/2017,9:00,17.5,16.8,17.1,18.1,18.5,16.5,mostly cloudy
6/25/2017,10:00,15.1,17.6,17.8,16.9,20.1,17.4,mostly cloudy
6/25/2017,11:00,17.1,17.6,17.7,16.2,19.1,16.2,mostly cloudy
6/25/2017,12:00,18.6,19.5,21.2,19,20.4,21.1,mostly cloudy
6/25/2017,13:00,19.6,22,24,22.6,29.5,25.6,mostly cloudy
6/25/2017,14:00,18.6,21.3,24,21.2,24.2,23.7,mostly cloudy
6/25/2017,15:00,20.4,21.2,21.8,19.8,24.7,20.5,mostly cloudy
6/25/2017,16:00,13.5,15.3,13.4,14,.,12.8,rainy
6/25/2017,17:00,18.3,18.4,18.9,19.9,.,17.1,cloudy
6/26/2017,9:00,12.4,12.8,13.3,12.6,.,12.2,mostly cloudy
6/26/2017,10:00,13.7,13.5,14,13.4,.,13.3,overcast
6/26/2017,11:00,14.9,16.9,16.1,15.5,.,16.4,overcast
6/26/2017,12:00,15.9,17.2,18,16.6,.,17.4,overcast
6/26/2017,13:00,16.4,17.1,17.4,16.2,.,17.8,overcast
6/26/2017,14:00,20.2,21.4,23.6,21.2,.,22.5,overcast
6/26/2017,15:00,20.2,22.8,25.5,22.1,22.3,25.5,overcast
6/26/2017,16:00,21.4,24.7,27.8,23,30.5,23.3,partly cloudy
6/26/2017,17:00,23.9,25.8,30.6,25.1,34.9,28.9,partly sunny
6/27/2017,8:00,19.3,15.5,18.6,16.4,21.7,18.2,sunny
6/27/2017,9:00,21.9,19.4,28.9,29.7,21.8,22.7,sunny
6/27/2017,10:00,22.5,25.9,35.3,25.6,38.2,31.9,sunny
6/27/2017,11:00,27.8,29.5,39.3,27.2,39.6,30.2,sunny
6/27/2017,12:00,27.1,33.1,43.1,31.4,51.3,36.4,sunny
6/27/2017,13:00,27.1,29.2,32.4,24.7,28.2,25.5,partly sunny
6/27/2017,14:00,28.1,35.5,42.4,29.2,45.5,33.6,partly sunny
6/27/2017,15:00,27.2,32,34.5,26.1,34.6,28.5,partly sunny
6/27/2017,16:00,26.2,32.8,35.8,24.2,36.4,28.8,partly sunny
6/27/2017,17:00,27.6,31.6,34,25.6,37.4,29.3,partly sunny
