"","qbtag","total_path_distance","displacement","mvmt_index","displacement_bearing","treat_id","starting_quad","alt_index","m_total_path","m_displacement"
"1",1,53.8987512985154,26.3432166759752,2.04602011825195,298.587751247549,"Absence","SE",0.488753747374863,16.4283393957875,8.02941244283723
"2",2,40.9833672956093,2.64294815210813,15.5066860705985,14.3257003421387,"Absence","SE",0.0644883113933706,12.4917303517017,0.805570596762559
"3",4,58.818766197986,28.4945850102432,2.06420855670795,302.961294473185,"Absence","SE",0.484447173106784,17.9279599371461,8.68514951112212
"4",5,0,0,NA,NA,"Absence","SW",NA,0,0
"5",6,20.8991578151773,10.0563076941669,2.07821383859402,174.079554692044,"Absence","SW",0.481182437258975,6.37006330206603,3.06516258518208
"6",7,10.1359750667777,9.67481520759978,1.04766601214415,186.251636552694,"Absence","SW",0.95450266440676,3.08944520035384,2.94888367527641
"7",8,0,0,NA,NA,"Presence","NE",NA,0,0
"8",10,0,0,NA,NA,"Presence","NE",NA,0,0
"9",11,0,0,NA,NA,"Presence","NE",NA,0,0
"10",12,0,0,NA,NA,"Presence","NW",NA,0,0
"11",13,0,0,NA,NA,"Presence","NW",NA,0,0
"12",14,0,0,NA,NA,"Presence","NW",NA,0,0
"13",9,4.01904874653808,3.48388860016226,1.15361000531156,22.9373822663096,"Absence","NE",0.866844076763986,1.22500605794481,1.06188924532946
"14",15,36.5175739028127,34.2622486260105,1.0658253724506,260.602063525807,"Absence","SE",0.93824000239434,11.1305565255773,10.443133381208
"15",16,26.5064216126602,17.4311485495316,1.52063540376245,249,"Absence","SE",0.6576198328184,8.07915730753883,5.31301407789724
"16",17,36.6583337918215,34.2622486260105,1.06993368100166,260.602063525807,"Absence","SE",0.934637368424378,11.1734601397472,10.443133381208
"17",18,62.7730660374288,22.0827913567924,2.8426236983904,356.251846412519,"Absence","SE",0.351787681417783,19.1332305282083,6.73083480555034
"18",19,0,0,NA,NA,"Presence","SW",NA,0,0
"19",20,0,0,NA,NA,"Presence","NW",NA,0,0
"20",21,0,0,NA,NA,"Presence","NW",NA,0,0
"21",22,18.014729661452,15.691819145569,1.14803322000681,319.5,"Absence","NE",0.871054933405211,5.49088960081058,4.78286647556943
"22",23,9.67481520759981,9.67481520759981,1,279.251636552694,"Presence","NW",1,2.94888367527642,2.94888367527642
"23",24,0,0,NA,NA,"Presence","SW",NA,0,0
"24",25,0,0,NA,NA,"Presence","NW",NA,0,0
"25",26,2.66589924971271,2.66589924971271,1,12.1066077912397,"Absence","NE",1,0.812566091312433,0.812566091312433
"26",27,11.913488371948,4.64208610504243,2.56640831349662,3.25290993616292,"Absence","NE",0.38964961060212,3.63123125576976,1.41490784481693
"27",28,62.9681700989729,50.1152943908355,1.25646613203349,297.887226733617,"Absence","NE",0.795882972493318,19.1926982461669,15.2751417303267
"28",29,16.8906581917549,11.4083406067392,1.48055346294422,255.306586147231,"Presence","SW",0.675423093477089,5.1482726168469,3.47726221693412
"29",30,2.99999999999999,2.99999999999999,1,44.9999999999998,"Presence","SW",1,0.914399999999998,0.914399999999998
"30",31,35.7768619607113,25.0760367899359,1.42673510413217,220.009105124254,"Presence","SW",0.700900957089903,10.9047875256248,7.64317601357246
"31",32,16.1100425937278,16.1100425937278,1,217.780801538042,"Presence","SW",1,4.91034098256823,4.91034098256823
"32",33,0.999999999999998,0.999999999999998,1,44.9999999999994,"Presence","SW",1,0.304799999999999,0.304799999999999
"33",34,10.7752463787072,10.7752463787072,1,230.317696001644,"Absence","NW",1,3.28429509622995,3.28429509622995
"34",35,10.7752463787072,10.7752463787072,1,230.317696001644,"Absence","NW",1,3.28429509622995,3.28429509622995
"35",36,0,0,NA,NA,"Presence","SE",NA,0,0
"36",37,0,0,NA,NA,"Presence","SE",NA,0,0
"37",38,0,0,NA,NA,"Presence","SE",NA,0,0
"38",39,22.3181610196849,12.5764433304456,1.77460037255971,299.55774180042,"Absence","NW",0.563507150941023,6.80257547879995,3.83329992711983
"39",40,14.1956581970927,14.1956581970927,1,149.029637484139,"Absence","NE",1,4.32683661847386,4.32683661847386
"40",41,11.5956256647263,11.5956256647263,1,245.150356334591,"Absence","NW",1,3.53434670260857,3.53434670260857
"41",42,10.7752463787072,10.7752463787072,1,230.317696001644,"Absence","NW",1,3.28429509622995,3.28429509622995
"42",43,3.99999999999999,0,NA,NA,"Presence","SE",0,1.2192,0
"43",44,11.549923569124,11.549923569124,1,169.614249300297,"Absence","NE",1,3.52041670386901,3.52041670386901
"44",46,6.99999999999999,6.99999999999999,1,231,"Absence","NE",1,2.1336,2.1336
"45",47,0,0,NA,NA,"Presence","SW",NA,0,0
"46",48,0.999999999999998,0.999999999999998,1,44.9999999999994,"Presence","SW",1,0.304799999999999,0.304799999999999
"47",51,0,0,NA,NA,"Presence","SW",NA,0,0
"48",52,6.99999999999999,6.99999999999999,1,231,"Absence","NE",1,2.1336,2.1336
"49",53,6.99999999999999,6.99999999999999,1,231,"Absence","NE",1,2.1336,2.1336
"50",54,14.9167520932654,1.99999999999999,7.45837604663276,49.9999999999999,"Absence","NE",0.134077444439325,4.5466260380273,0.609599999999996
"51",55,44.9561054833327,21.2082282388314,2.11974828717752,244.618525089993,"Absence","SE",0.471754125737031,13.7026209513198,6.4642679671958
"52",56,0,0,NA,NA,"Presence","SW",NA,0,0
"53",57,0,0,NA,NA,"Presence","SW",NA,0,0
"54",58,49.5159902141764,24.6396915809072,2.00960267914008,299.190665510952,"Absence","SE",0.497610801567952,15.092473817281,7.51017799386051
"55",59,25.0569683407761,21.9977358969072,1.13907033242903,236.935313494056,"Absence","SE",0.877908915305989,7.63736395026855,6.70490990137732
"56",60,32.2803805345488,12.3112849388395,2.62201554873538,133.849652837156,"Absence","NE",0.381385991582814,9.83905998693047,3.75247964935827
"57",61,0,0,NA,NA,"Presence","NW",NA,0,0
"58",62,48.8075988854048,22.7297458036063,2.14730069166285,123.164846806934,"Absence","NE",0.465700963019579,14.8765561402714,6.92802652093921
"59",63,0,0,NA,NA,"Presence","SW",NA,0,0
"60",65,0,0,NA,NA,"Presence","NW",NA,0,0
"61",66,28.4119427668862,21.7753360235683,1.30477631831421,298.093089827562,"Presence","NW",0.766414891168486,8.65996015534691,6.63712241998362
"62",45,12.0910926395548,12.0910926395548,1,96.1227209658036,"Presence","NE",1,3.68536503653631,3.68536503653631
"63",67,24.8666875678749,24.8613460546501,1.00021485213283,259,"Absence","SW",0.999785194018696,7.57936637068826,7.57773827745734
"64",68,6.00000000000001,6.00000000000001,1,316,"Absence","NW",1,1.8288,1.8288
"65",69,28.5836517919008,17,1.68139128187652,316,"Absence","NW",0.594745560286211,8.71229706617137,5.1816
"66",70,30.431827674981,18,1.6906570930545,342,"Absence","SW",0.591485999205969,9.27562107533421,5.4864
"67",71,27.1591612142134,26.2763117405629,1.03359868319295,245.90063469294,"Absence","SW",0.967493492649234,8.27811233809224,8.00901981852358
"68",72,0,0,NA,NA,"Presence","NE",NA,0,0
"69",73,2,2,1,225,"Presence","NE",1,0.609599999999999,0.609599999999999
"70",74,21.8946668633293,17,1.28792158019584,316,"Absence","NW",0.776444789323229,6.67349445994278,5.1816
"71",75,53.9389128878509,18.2126626880735,2.96161598178463,205.127976731165,"Absence","NW",0.337653499356596,16.440580648217,5.55121958732479
"72",76,0,0,NA,NA,"Presence","SW",NA,0,0
"73",77,0,0,NA,NA,"Presence","SW",NA,0,0
"74",78,0,0,NA,NA,"Presence","SW",NA,0,0
"75",79,35.7064937789792,31.3861875862821,1.13764991943734,241.608347828289,"Absence","SW",0.87900502862478,10.8833393038329,9.56650997629879
"76",80,0.999999999999988,0.999999999999988,1,225,"Presence","NE",1,0.304799999999996,0.304799999999996
"77",81,16.2956737537299,13.3099028324977,1.2243270261855,17.6848095919576,"Absence","NE",0.81677523946816,4.96692136013688,4.05685838334531
"78",82,0,0,NA,NA,"Presence","SE",NA,0,0
"79",83,0,0,NA,NA,"Presence","NW",NA,0,0
"80",84,0,0,NA,NA,"Presence","SE",NA,0,0
"81",85,14.5849065328426,4.29813331881243,3.39331180561715,336.726235111316,"Absence","SW",0.294697350931512,4.44547951121044,1.31007103557403
"82",86,34.3682946951335,19.3891955846032,1.77254876537659,327.885859337541,"Absence","SW",0.564159372951042,10.4754562230767,5.90982681418704
"83",87,14.7908029341687,7.11949732731021,2.07750663483383,322,"Absence","NE",0.481346236509124,4.50823673433462,2.17002278536415
"84",88,12.0910926395548,12.0910926395548,1,6.12272096580349,"Presence","NW",1,3.6853650365363,3.6853650365363
"85",90,0,0,NA,NA,"Presence","SE",NA,0,0
"86",91,47.4921314297421,5.40118103187386,8.79291605844682,97.2288753439948,"Absence","NE",0.113727913851669,14.4756016597854,1.64627997851515
"87",92,0,0,NA,NA,"Presence","NW",NA,0,0
"88",94,42.4213588059816,30.3463288984347,1.39790743545819,321.618063557538,"Absence","SW",0.715354947426995,12.9300301640632,9.2495610482429
"89",100,23.5961617310051,15.3372320416785,1.53848893117632,319.474444901821,"Absence","SW",0.649988426784071,7.19211009561035,4.67478832630361
"90",101,0,0,NA,NA,"Presence","NW",NA,0,0
"91",95,0,0,NA,NA,"Presence","SE",NA,0,0
"92",97,0,0,NA,NA,"Presence","SE",NA,0,0
"93",99,0,0,NA,NA,"Presence","SE",NA,0,0
"94",111,10.5668213555865,10.5668213555865,1,148.422896031553,"Absence","NE",1,3.22076714918276,3.22076714918276
"95",112,14.2039966032307,10.5450375881256,1.34698397085139,247.527919384264,"Absence","NE",0.742399331870242,4.32937816466471,3.21412745686069
"96",113,0,0,NA,NA,"Presence","SE",NA,0,0
"97",114,31.3340963209381,21.8097869048275,1.4366988754944,188.506099937414,"Absence","SW",0.69604007983641,9.55063255862192,6.64762304859142
"98",115,34.0810618880484,20.1315263011663,1.69291991964235,266.468857285943,"Absence","SW",0.590695394624019,10.3879076634771,6.1360892165955
"99",117,0,0,NA,NA,"Presence","NW",NA,0,0
"100",118,15.2215001274902,15.1699897675796,1.0033955434842,128.229563493993,"Absence","SW",0.996615947214189,4.63951323885903,4.62381288115826
"101",119,0,0,NA,NA,"Presence","NW",NA,0,0
"102",120,0,0,NA,NA,"Presence","NW",NA,0,0
"103",121,10.5297740882837,10.5297740882837,1,282.196412672528,"Presence","NW",1,3.20947514210886,3.20947514210886
